c1	c2	c3	c4	c5	c6	c7	c8
gene1260	gene1330	gene1315	gene1403	gene1327	gene1509	gene1346	gene1324
gene1262	gene1331	gene1316	gene1405	gene1328	gene1510	gene1347	gene1325
gene1263	gene1333	gene1317	gene1407	gene1331	gene1511	gene1348	gene1327
gene1265	gene1335	gene1318	gene1408	gene1332	gene1512	gene1351	gene1328
gene1268	gene1336	gene1320	gene1411	gene1333	gene1513	gene1352	gene1329
gene1269	gene1338	gene1322	gene1414	gene1335	gene1514	gene1353	gene1330
gene1270	gene1340	gene1324	gene1421	gene1340	gene1515	gene1359	gene1331
gene1271	gene1341	gene1326	gene1422	gene1342	gene1518	gene1363	gene1333
gene1272	gene1342	gene1327	gene1431	gene1343	gene1519	gene1364	gene1335
gene1275	gene1343	gene1328	gene1433	gene1344	gene1522	gene1367	gene1340
gene1276	gene1344	gene1329	gene1434	gene1347	gene1523	gene1368	gene1343
gene1282	gene1345	gene1331	gene1436	gene1352	gene1524	gene1369	gene1344
gene1283	gene1346	gene1332	gene1437	gene1353	gene1528	gene1370	gene1347
gene1285	gene1347	gene1333	gene1441	gene1355	gene1529	gene1372	gene1351
gene1286	gene1350	gene1335	gene1443	gene1356	gene1533	gene1373	gene1352
gene1287	gene1351	gene1338	gene1444	gene1359	gene1536	gene1374	gene1353
gene1288	gene1352	gene1339	gene1448	gene1361	gene1539	gene1375	gene1354
gene1289	gene1353	gene1340	gene1449	gene1364	gene1540	gene1376	gene1357
gene1291	gene1354	gene1341	gene1450	gene1366	gene1542	gene1377	gene1359
gene1292	gene1355	gene1342	gene1451	gene1367	gene1543	gene1378	gene1364
gene1293	gene1356	gene1343	gene1452	gene1368	gene1545	gene1381	gene1365
gene1294	gene1357	gene1344	gene1454	gene1372	gene1547	gene1382	gene1366
gene1295	gene1359	gene1345	gene1455	gene1373	gene1548	gene1385	gene1368
gene1296	gene1360	gene1347	gene1456	gene1374	gene1549	gene1387	gene1371
gene1297	gene1361	gene1348	gene1459	gene1375	gene1551	gene1388	gene1373
gene1299	gene1366	gene1351	gene1461	gene1377	gene1559	gene1389	gene1374
gene1300	gene1367	gene1352	gene1462	gene1378	gene1560	gene1395	gene1375
gene1301	gene1369	gene1353	gene1463	gene1380	gene1561	gene1396	gene1376
gene1302	gene1371	gene1354	gene1466	gene1382	gene1565	gene1397	gene1378
gene1303	gene1373	gene1355	gene1472	gene1383	gene1568	gene1398	gene1380
gene1305	gene1374	gene1356	gene1473	gene1386	gene1570	gene1400	gene1381
gene1308	gene1375	gene1357	gene1474	gene1387	gene1573	gene1401	gene1382
gene1310	gene1376	gene1359	gene1477	gene1391	gene1575	gene1402	gene1383
gene1312	gene1377	gene1363	gene1478	gene1392	gene1576	gene1403	gene1386
gene1313	gene1378	gene1364	gene1479	gene1395	gene1577	gene1405	gene1387
gene1314	gene1379	gene1365	gene1480	gene1396	gene1582	gene1406	gene1388
gene1315	gene1382	gene1368	gene1483	gene1397	gene1584	gene1407	gene1389
gene1316	gene1383	gene1371	gene1484	gene1400	gene1585	gene1408	gene1392
gene1317	gene1384	gene1373	gene1486	gene1403	gene1586	gene1411	gene1395
gene1319	gene1385	gene1375	gene1488	gene1407	gene1591	gene1412	gene1396
gene1320	gene1386	gene1376	gene1490	gene1408	gene1592	gene1413	gene1397
gene1322	gene1387	gene1377	gene1492	gene1411	gene1595	gene1417	gene1398
gene1323	gene1388	gene1379	gene1497	gene1412	gene1600	gene1421	gene1400
gene1324	gene1389	gene1381	gene1499	gene1413	gene1602	gene1422	gene1402
gene1325	gene1390	gene1382	gene1500	gene1414	gene1604	gene1424	gene1403
gene1326	gene1391	gene1386	gene1501	gene1418	gene1611	gene1427	gene1404
gene1327	gene1392	gene1387	gene1502	gene1421	gene1614	gene1430	gene1405
gene1328	gene1394	gene1388	gene1509	gene1422	gene1616	gene1433	gene1406
gene1329	gene1395	gene1389	gene1513	gene1424	gene1617	gene1434	gene1407
gene1331	gene1396	gene1392	gene1514	gene1425	gene1620	gene1435	gene1408
gene1332	gene1397	gene1395	gene1515	gene1430	gene1624	gene1436	gene1410
gene1333	gene1398	gene1396	gene1517	gene1432	gene1628	gene1437	gene1411
gene1335	gene1399	gene1397	gene1518	gene1433	gene1630	gene1440	gene1414
gene1336	gene1400	gene1398	gene1523	gene1434	gene1633	gene1441	gene1421
gene1340	gene1401	gene1399	gene1524	gene1435	gene1634	gene1443	gene1422
gene1343	gene1402	gene1400	gene1527	gene1436	gene1636	gene1444	gene1424
gene1344	gene1403	gene1403	gene1529	gene1437	gene1639	gene1445	gene1425
gene1345	gene1405	gene1404	gene1533	gene1441	gene1642	gene1446	gene1427
gene1346	gene1407	gene1405	gene1534	gene1449	gene1644	gene1448	gene1430
gene1347	gene1408	gene1406	gene1535	gene1450	gene1650	gene1449	gene1431
gene1349	gene1409	gene1407	gene1536	gene1451	gene1652	gene1450	gene1432
gene1350	gene1411	gene1408	gene1538	gene1456	gene1656	gene1451	gene1433
gene1351	gene1412	gene1411	gene1539	gene1457	gene1658	gene1452	gene1434
gene1352	gene1413	gene1413	gene1540	gene1458	gene1659	gene1453	gene1435
gene1353	gene1414	gene1414	gene1542	gene1461	gene1661	gene1458	gene1436
gene1354	gene1417	gene1416	gene1543	gene1462	gene1664	gene1459	gene1437
gene1355	gene1418	gene1421	gene1548	gene1463	gene1667	gene1460	gene1438
gene1357	gene1419	gene1422	gene1550	gene1465	gene1668	gene1461	gene1441
gene1359	gene1421	gene1424	gene1554	gene1469	gene1674	gene1462	gene1443
gene1360	gene1422	gene1425	gene1555	gene1471	gene1675	gene1463	gene1445
gene1363	gene1429	gene1427	gene1556	gene1474	gene1681	gene1466	gene1446
gene1367	gene1431	gene1432	gene1559	gene1475	gene1683	gene1468	gene1448
gene1368	gene1432	gene1433	gene1561	gene1476	gene1684	gene1469	gene1449
gene1371	gene1433	gene1434	gene1562	gene1478	gene1685	gene1473	gene1450
gene1372	gene1435	gene1435	gene1563	gene1479	gene1686	gene1478	gene1453
gene1373	gene1436	gene1436	gene1564	gene1481	gene1688	gene1479	gene1456
gene1374	gene1437	gene1437	gene1565	gene1483	gene1689	gene1480	gene1457
gene1375	gene1441	gene1439	gene1568	gene1486	gene1690	gene1483	gene1460
gene1377	gene1444	gene1441	gene1573	gene1488	gene1691	gene1484	gene1462
gene1380	gene1445	gene1443	gene1575	gene1489	gene1693	gene1485	gene1465
gene1383	gene1448	gene1445	gene1576	gene1490	gene1697	gene1486	gene1466
gene1385	gene1449	gene1446	gene1577	gene1492	gene1700	gene1490	gene1468
gene1386	gene1451	gene1449	gene1586	gene1494	gene1701	gene1491	gene1469
gene1387	gene1453	gene1450	gene1591	gene1496	gene1703	gene1494	gene1473
gene1388	gene1454	gene1452	gene1592	gene1497	gene1705	gene1495	gene1477
gene1389	gene1456	gene1453	gene1595	gene1498	gene1710	gene1497	gene1478
gene1390	gene1457	gene1456	gene1596	gene1500	gene1712	gene1498	gene1479
gene1392	gene1460	gene1457	gene1597	gene1502	gene1713	gene1500	gene1481
gene1394	gene1461	gene1459	gene1603	gene1503	gene1716	gene1502	gene1483
gene1395	gene1462	gene1460	gene1604	gene1510	gene1717	gene1503	gene1484
gene1396	gene1463	gene1462	gene1605	gene1512	gene1722	gene1506	gene1485
gene1397	gene1466	gene1463	gene1606	gene1513	gene1732	gene1509	gene1486
gene1399	gene1467	gene1466	gene1607	gene1515	gene1744	gene1510	gene1487
gene1400	gene1468	gene1468	gene1611	gene1518	gene1745	gene1511	gene1488
gene1402	gene1470	gene1473	gene1614	gene1519	gene1747	gene1512	gene1489
gene1403	gene1473	gene1474	gene1616	gene1523	gene1749	gene1513	gene1490
gene1404	gene1476	gene1477	gene1621	gene1525	gene1750	gene1516	gene1492
gene1405	gene1478	gene1478	gene1622	gene1528	gene1755	gene1518	gene1495
gene1407	gene1479	gene1479	gene1624	gene1529	gene1757	gene1525	gene1497
gene1408	gene1480	gene1480	gene1626	gene1530	gene1758	gene1529	gene1500
gene1411	gene1481	gene1483	gene1627	gene1536	gene1760	gene1530	gene1502
gene1412	gene1483	gene1484	gene1628	gene1538	gene1762	gene1531	gene1503
gene1413	gene1484	gene1485	gene1630	gene1539	gene1766	gene1532	gene1506
gene1414	gene1485	gene1486	gene1632	gene1540	gene1767	gene1536	gene1509
gene1416	gene1486	gene1487	gene1633	gene1541	gene1769	gene1538	gene1512
gene1417	gene1487	gene1490	gene1636	gene1547	gene1771	gene1539	gene1513
gene1421	gene1490	gene1491	gene1637	gene1548	gene1773	gene1540	gene1517
gene1427	gene1491	gene1492	gene1638	gene1549	gene1779	gene1543	gene1518
gene1429	gene1492	gene1494	gene1642	gene1552	gene1782	gene1544	gene1522
gene1430	gene1497	gene1497	gene1643	gene1554	gene1786	gene1546	gene1523
gene1431	gene1498	gene1500	gene1644	gene1559	gene1791	gene1548	gene1529
gene1432	gene1500	gene1505	gene1650	gene1562	gene1795	gene1549	gene1530
gene1433	gene1501	gene1509	gene1651	gene1563	gene1798	gene1550	gene1531
gene1434	gene1502	gene1510	gene1652	gene1564	gene1799	gene1552	gene1533
gene1435	gene1504	gene1513	gene1654	gene1568	gene1801	gene1556	gene1535
gene1436	gene1505	gene1514	gene1656	gene1571	gene1804	gene1559	gene1536
gene1437	gene1506	gene1515	gene1658	gene1573	gene1806	gene1560	gene1538
gene1440	gene1507	gene1516	gene1659	gene1576	gene1810	gene1561	gene1539
gene1441	gene1508	gene1518	gene1660	gene1577	gene1817	gene1563	gene1540
gene1443	gene1510	gene1519	gene1661	gene1587	gene1818	gene1565	gene1547
gene1444	gene1512	gene1520	gene1664	gene1591	gene1819	gene1568	gene1548
gene1445	gene1513	gene1522	gene1665	gene1592	gene1821	gene1569	gene1550
gene1449	gene1514	gene1526	gene1668	gene1594	gene1828	gene1570	gene1551
gene1451	gene1515	gene1529	gene1675	gene1595	gene1832	gene1571	gene1553
gene1452	gene1516	gene1530	gene1676	gene1597	gene1835	gene1572	gene1554
gene1453	gene1518	gene1531	gene1677	gene1598	gene1840	gene1573	gene1559
gene1457	gene1519	gene1532	gene1678	gene1601	gene1841	gene1575	gene1560
gene1458	gene1524	gene1536	gene1679	gene1603	gene1846	gene1581	gene1561
gene1459	gene1529	gene1539	gene1680	gene1604	gene1852	gene1582	gene1563
gene1460	gene1530	gene1544	gene1682	gene1611	gene1853	gene1584	gene1564
gene1461	gene1531	gene1547	gene1684	gene1613	gene1854	gene1588	gene1568
gene1462	gene1535	gene1548	gene1685	gene1616	gene1855	gene1589	gene1570
gene1463	gene1536	gene1549	gene1689	gene1618	gene1860	gene1591	gene1573
gene1464	gene1538	gene1550	gene1690	gene1619	gene1861	gene1592	gene1575
gene1465	gene1539	gene1552	gene1691	gene1620	gene1862	gene1593	gene1577
gene1466	gene1540	gene1554	gene1692	gene1621	gene1864	gene1595	gene1581
gene1468	gene1541	gene1556	gene1693	gene1622	gene1868	gene1597	gene1586
gene1469	gene1548	gene1557	gene1695	gene1624	gene1869	gene1600	gene1588
gene1471	gene1550	gene1559	gene1697	gene1628	gene1870	gene1602	gene1589
gene1474	gene1551	gene1562	gene1698	gene1632	gene1871	gene1604	gene1590
gene1476	gene1552	gene1563	gene1700	gene1633	gene1874	gene1606	gene1591
gene1477	gene1554	gene1564	gene1701	gene1638	gene1879	gene1611	gene1595
gene1478	gene1557	gene1566	gene1703	gene1639	gene1881	gene1614	gene1597
gene1479	gene1559	gene1567	gene1704	gene1640	gene1883	gene1616	gene1598
gene1481	gene1560	gene1568	gene1707	gene1642	gene1885	gene1620	gene1599
gene1483	gene1561	gene1573	gene1712	gene1643	gene1890	gene1622	gene1600
gene1484	gene1562	gene1574	gene1713	gene1644	gene1892	gene1627	gene1602
gene1486	gene1563	gene1575	gene1714	gene1645	gene1896	gene1632	gene1604
gene1487	gene1565	gene1577	gene1716	gene1649	gene1897	gene1633	gene1605
gene1488	gene1568	gene1581	gene1722	gene1652	gene1901	gene1636	gene1606
gene1489	gene1570	gene1582	gene1729	gene1658	gene1904	gene1637	gene1607
gene1490	gene1571	gene1591	gene1730	gene1659	gene1906	gene1638	gene1611
gene1492	gene1573	gene1592	gene1745	gene1660	gene1907	gene1639	gene1612
gene1497	gene1577	gene1595	gene1746	gene1661	gene1915	gene1640	gene1613
gene1499	gene1578	gene1597	gene1747	gene1664	gene1916	gene1641	gene1616
gene1500	gene1582	gene1598	gene1748	gene1665	gene1919	gene1642	gene1617
gene1501	gene1585	gene1600	gene1749	gene1668	gene1922	gene1643	gene1621
gene1502	gene1586	gene1602	gene1750	gene1669	gene1923	gene1644	gene1622
gene1504	gene1589	gene1603	gene1756	gene1675	gene1925	gene1645	gene1624
gene1505	gene1590	gene1604	gene1760	gene1677	gene1927	gene1646	gene1625
gene1510	gene1591	gene1606	gene1762	gene1679	gene1928	gene1649	gene1628
gene1511	gene1595	gene1607	gene1765	gene1680	gene1932	gene1652	gene1630
gene1512	gene1597	gene1611	gene1766	gene1682	gene1938	gene1654	gene1632
gene1513	gene1600	gene1616	gene1767	gene1685	gene1946	gene1655	gene1633
gene1514	gene1601	gene1620	gene1768	gene1687	gene1948	gene1656	gene1634
gene1516	gene1602	gene1621	gene1773	gene1688	gene1949	gene1658	gene1635
gene1519	gene1603	gene1622	gene1774	gene1689	gene1951	gene1659	gene1636
gene1520	gene1604	gene1624	gene1776	gene1691	gene1955	gene1664	gene1639
gene1528	gene1605	gene1626	gene1779	gene1692	gene1956	gene1665	gene1640
gene1529	gene1606	gene1630	gene1781	gene1693	gene1957	gene1668	gene1641
gene1530	gene1607	gene1631	gene1782	gene1697	gene1962	gene1669	gene1643
gene1531	gene1611	gene1636	gene1784	gene1700	gene1965	gene1670	gene1644
gene1533	gene1613	gene1637	gene1790	gene1701	gene1975	gene1672	gene1645
gene1535	gene1614	gene1639	gene1791	gene1702	gene1978	gene1673	gene1646
gene1536	gene1616	gene1640	gene1792	gene1703	gene1982	gene1674	gene1649
gene1537	gene1617	gene1641	gene1795	gene1705	gene1984	gene1675	gene1650
gene1538	gene1618	gene1642	gene1796	gene1712	gene1990	gene1678	gene1652
gene1539	gene1620	gene1644	gene1798	gene1713	gene1991	gene1680	gene1655
gene1540	gene1624	gene1645	gene1799	gene1714	gene1997	gene1681	gene1659
gene1546	gene1625	gene1646	gene1803	gene1718	gene2000	gene1682	gene1663
gene1548	gene1626	gene1649	gene1804	gene1720	gene2003	gene1683	gene1664
gene1550	gene1628	gene1650	gene1806	gene1722	gene2005	gene1684	gene1665
gene1551	gene1632	gene1655	gene1809	gene1725	gene2008	gene1685	gene1666
gene1554	gene1636	gene1658	gene1810	gene1730	gene2012	gene1686	gene1667
gene1559	gene1639	gene1659	gene1812	gene1731	gene2015	gene1687	gene1668
gene1563	gene1641	gene1664	gene1815	gene1733	gene2021	gene1688	gene1669
gene1564	gene1643	gene1665	gene1818	gene1741	gene2024	gene1691	gene1671
gene1565	gene1644	gene1667	gene1819	gene1743	gene2025	gene1693	gene1673
gene1566	gene1645	gene1668	gene1821	gene1745	gene2026	gene1695	gene1674
gene1568	gene1649	gene1669	gene1828	gene1746	gene2030	gene1696	gene1677
gene1571	gene1654	gene1671	gene1839	gene1747	gene2031	gene1697	gene1678
gene1573	gene1655	gene1674	gene1840	gene1748	gene2033	gene1699	gene1679
gene1575	gene1658	gene1676	gene1841	gene1749	gene2038	gene1700	gene1680
gene1577	gene1659	gene1679	gene1846	gene1750	gene2040	gene1701	gene1681
gene1578	gene1660	gene1680	gene1849	gene1757	gene2041	gene1703	gene1682
gene1582	gene1662	gene1682	gene1852	gene1760	gene2043	gene1704	gene1687
gene1583	gene1663	gene1686	gene1855	gene1761	gene2044	gene1705	gene1688
gene1585	gene1665	gene1689	gene1858	gene1762	gene2046	gene1706	gene1689
gene1588	gene1666	gene1691	gene1860	gene1766	gene2048	gene1707	gene1690
gene1591	gene1668	gene1696	gene1861	gene1767	gene2050	gene1711	gene1691
gene1594	gene1671	gene1697	gene1862	gene1769	gene2052	gene1713	gene1693
gene1595	gene1672	gene1700	gene1865	gene1770	gene2055	gene1714	gene1695
gene1597	gene1673	gene1701	gene1868	gene1771	gene2057	gene1717	gene1697
gene1598	gene1674	gene1702	gene1870	gene1775	gene2058	gene1718	gene1700
gene1599	gene1676	gene1703	gene1874	gene1782	gene2059	gene1720	gene1701
gene1600	gene1678	gene1704	gene1875	gene1784	gene2063	gene1728	gene1702
gene1602	gene1680	gene1710	gene1876	gene1788	gene2069	gene1730	gene1705
gene1603	gene1682	gene1712	gene1879	gene1789	gene2072	gene1731	gene1709
gene1604	gene1684	gene1713	gene1881	gene1790	gene2074	gene1732	gene1713
gene1605	gene1685	gene1714	gene1883	gene1791	gene2076	gene1735	gene1714
gene1606	gene1688	gene1718	gene1888	gene1793	gene2081	gene1744	gene1720
gene1607	gene1691	gene1719	gene1889	gene1798	gene2086	gene1747	gene1722
gene1610	gene1693	gene1720	gene1892	gene1799	gene2087	gene1750	gene1723
gene1611	gene1696	gene1723	gene1893	gene1804	gene2089	gene1757	gene1727
gene1612	gene1697	gene1729	gene1897	gene1806	gene2091	gene1760	gene1728
gene1613	gene1700	gene1735	gene1900	gene1809	gene2094	gene1761	gene1732
gene1614	gene1702	gene1739	gene1901	gene1810	gene2095	gene1764	gene1738
gene1616	gene1703	gene1745	gene1903	gene1812	gene2096	gene1765	gene1739
gene1618	gene1705	gene1747	gene1906	gene1814	gene2098	gene1766	gene1742
gene1620	gene1712	gene1750	gene1907	gene1816	gene2113	gene1767	gene1747
gene1622	gene1713	gene1753	gene1909	gene1817	gene2116	gene1768	gene1749
gene1624	gene1714	gene1755	gene1911	gene1818	gene2120	gene1774	gene1750
gene1627	gene1718	gene1756	gene1913	gene1819	gene2121	gene1775	gene1752
gene1628	gene1719	gene1758	gene1915	gene1821	gene2124	gene1776	gene1753
gene1630	gene1720	gene1760	gene1916	gene1825	gene2126	gene1779	gene1755
gene1631	gene1722	gene1762	gene1919	gene1827	gene2129	gene1782	gene1757
gene1632	gene1725	gene1766	gene1922	gene1828	gene2132	gene1783	gene1758
gene1633	gene1726	gene1767	gene1925	gene1834	gene2133	gene1784	gene1760
gene1634	gene1731	gene1770	gene1927	gene1840	gene2135	gene1791	gene1761
gene1635	gene1732	gene1772	gene1931	gene1841	gene2136	gene1795	gene1764
gene1636	gene1735	gene1774	gene1932	gene1843	gene2139	gene1798	gene1765
gene1637	gene1742	gene1775	gene1934	gene1845	gene2140	gene1799	gene1766
gene1639	gene1743	gene1776	gene1938	gene1846	gene2142	gene1804	gene1767
gene1640	gene1745	gene1777	gene1941	gene1852	gene2149	gene1805	gene1768
gene1641	gene1747	gene1779	gene1944	gene1853	gene2152	gene1806	gene1776
gene1642	gene1748	gene1782	gene1946	gene1856	gene2154	gene1808	gene1779
gene1643	gene1750	gene1784	gene1949	gene1858	gene2155	gene1810	gene1782
gene1644	gene1755	gene1790	gene1957	gene1859	gene2158	gene1816	gene1783
gene1645	gene1756	gene1791	gene1958	gene1860	gene2161	gene1817	gene1785
gene1646	gene1757	gene1793	gene1960	gene1861	gene2162	gene1819	gene1786
gene1649	gene1758	gene1795	gene1978	gene1863	gene2164	gene1820	gene1791
gene1651	gene1760	gene1798	gene1985	gene1864	gene2168	gene1821	gene1793
gene1653	gene1761	gene1801	gene1987	gene1865	gene2171	gene1824	gene1794
gene1654	gene1765	gene1804	gene1990	gene1866	gene2176	gene1827	gene1795
gene1655	gene1766	gene1805	gene1992	gene1867	gene2177	gene1831	gene1796
gene1659	gene1767	gene1806	gene1998	gene1868	gene2183	gene1839	gene1798
gene1660	gene1769	gene1809	gene2003	gene1869	gene2185	gene1840	gene1799
gene1665	gene1773	gene1810	gene2006	gene1870	gene2186	gene1841	gene1803
gene1667	gene1775	gene1812	gene2009	gene1872	gene2187	gene1842	gene1804
gene1668	gene1776	gene1817	gene2010	gene1874	gene2189	gene1843	gene1806
gene1669	gene1779	gene1818	gene2012	gene1876	gene2192	gene1847	gene1810
gene1672	gene1781	gene1819	gene2015	gene1878	gene2193	gene1851	gene1812
gene1673	gene1782	gene1821	gene2017	gene1879	gene2194	gene1852	gene1817
gene1674	gene1784	gene1824	gene2019	gene1883	gene2195	gene1854	gene1818
gene1675	gene1785	gene1826	gene2021	gene1885	gene2199	gene1855	gene1821
gene1676	gene1786	gene1827	gene2022	gene1888	gene2207	gene1859	gene1823
gene1679	gene1787	gene1829	gene2025	gene1890	gene2221	gene1861	gene1829
gene1680	gene1790	gene1835	gene2026	gene1892	gene2223	gene1862	gene1830
gene1681	gene1791	gene1836	gene2033	gene1901	gene2233	gene1863	gene1831
gene1682	gene1792	gene1839	gene2035	gene1902	gene2235	gene1868	gene1834
gene1683	gene1793	gene1840	gene2036	gene1904	gene2237	gene1870	gene1835
gene1685	gene1795	gene1841	gene2039	gene1906	gene2243	gene1871	gene1839
gene1688	gene1796	gene1847	gene2040	gene1912	gene2245	gene1874	gene1840
gene1691	gene1799	gene1852	gene2041	gene1913	gene2247	gene1878	gene1841
gene1692	gene1804	gene1853	gene2043	gene1915	gene2248	gene1881	gene1846
gene1693	gene1805	gene1858	gene2048	gene1916	gene2249	gene1882	gene1852
gene1696	gene1806	gene1860	gene2050	gene1919	gene2254	gene1883	gene1853
gene1697	gene1809	gene1861	gene2052	gene1925	gene2256	gene1884	gene1854
gene1700	gene1810	gene1862	gene2055	gene1927	gene2267	gene1892	gene1858
gene1702	gene1812	gene1863	gene2058	gene1930	gene2272	gene1896	gene1859
gene1703	gene1813	gene1864	gene2059	gene1931	gene2273	gene1904	gene1860
gene1704	gene1817	gene1865	gene2067	gene1932	gene2278	gene1905	gene1861
gene1705	gene1819	gene1866	gene2072	gene1938	gene2281	gene1906	gene1862
gene1706	gene1820	gene1867	gene2074	gene1941	gene2292	gene1911	gene1863
gene1707	gene1821	gene1870	gene2076	gene1942	gene2293	gene1912	gene1864
gene1712	gene1822	gene1874	gene2081	gene1944	gene2294	gene1913	gene1865
gene1713	gene1825	gene1876	gene2084	gene1949	gene2298	gene1915	gene1866
gene1714	gene1827	gene1879	gene2088	gene1950	gene2299	gene1916	gene1867
gene1716	gene1829	gene1880	gene2089	gene1951	gene2302	gene1919	gene1870
gene1718	gene1831	gene1881	gene2096	gene1952	gene2310	gene1922	gene1874
gene1719	gene1835	gene1883	gene2097	gene1953	gene2314	gene1924	gene1875
gene1720	gene1839	gene1885	gene2098	gene1957	gene2321	gene1925	gene1876
gene1721	gene1840	gene1888	gene2101	gene1961	gene2328	gene1927	gene1879
gene1722	gene1841	gene1890	gene2106	gene1967	gene2330	gene1932	gene1883
gene1725	gene1844	gene1897	gene2107	gene1969	gene2331	gene1934	gene1888
gene1727	gene1847	gene1898	gene2113	gene1970	gene2333	gene1938	gene1889
gene1730	gene1849	gene1900	gene2124	gene1974	gene2336	gene1940	gene1890
gene1732	gene1852	gene1901	gene2132	gene1975	gene2342	gene1941	gene1892
gene1733	gene1853	gene1903	gene2136	gene1976	gene2344	gene1946	gene1896
gene1735	gene1854	gene1904	gene2140	gene1978	gene2347	gene1949	gene1899
gene1741	gene1855	gene1906	gene2141	gene1979	gene2354	gene1950	gene1901
gene1742	gene1856	gene1907	gene2142	gene1985	gene2356	gene1951	gene1904
gene1743	gene1857	gene1911	gene2143	gene1988	gene2358	gene1952	gene1907
gene1745	gene1858	gene1912	gene2145	gene1989	gene2359	gene1954	gene1910
gene1746	gene1859	gene1913	gene2149	gene1992	gene2367	gene1957	gene1912
gene1747	gene1860	gene1915	gene2152	gene1996	gene2371	gene1960	gene1913
gene1748	gene1862	gene1916	gene2153	gene1997	gene2373	gene1969	gene1915
gene1750	gene1863	gene1919	gene2155	gene1998	gene2374	gene1975	gene1916
gene1756	gene1864	gene1922	gene2161	gene1999	gene2375	gene1979	gene1919
